mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD,destination_id,mine_processed_quantity_tons_fraction
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,30.667630207616813,24.330646996134742,mine_3696,0.011110052444369923
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,1045.8112668944584,829.7108249684636,mine_3702,0.3788691184630434
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,4.209180365146233,3.3394194763049803,mine_3704,0.0015248721302558333
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,401.94237426819643,318.8873073954978,mine_3749,0.14561284414552253
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,MOZ,Africa,0,Africa,0,43084.824,33491.38,0.22224531182324306,,,,
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,NAM,Africa,0,Africa,0,3.123,2.895,1.9210918682009782e-05,1.9557835918183595,2.1098142166662304,mine_3502,1.0
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,SWZ,Africa,0,Africa,1,0.574,1.0,6.63589591779267e-06,,,,
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,TZA,Africa,0,Africa,0,0.001,0.0012492032477519,8.28958273225018e-09,,,,
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,ZWE,Africa,0,Africa,1,0.143,0.011,7.299485509571937e-08,,,,
mine_1990,NAM,Zinc,Lead,Silver,IronOre,Copper,,,,,,,,,,,0.0,99434.80244886425,NAM,ZAF,Africa,0,Africa,0,7.052,35.745,0.9970155082003793,2047.1183971278156,403.86848332760815,mine_2157,0.020649171550477373
mine_1990,NAM,Zinc,Lead,Silver,IronOre,Copper,,,,,,,,,,,0.0,99434.80244886425,NAM,ZAF,Africa,0,Africa,0,7.052,35.745,0.9970155082003793,3713.1291991234634,732.5496464461788,mine_2261,0.03745413158777833
