mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_approx_copper_export,id,iso3
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,OMN,Africa,0,Asia,0,14167.797,1489.97,0.0092729751484739,5.270982250125859,port988_land,OMN
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,RUS,Africa,0,Europe,0,4.159,0.122,7.592790244862755e-07,0.0004315924713352314,port1095_land,RUS
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,SGP,Africa,0,Asia,0,218.142,403.78,0.0025129646271071174,1.4284295743913094,port1201_land,SGP
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,THA,Africa,0,Asia,0,20629.653,2652.332,0.01650704961945682,9.383004284274728,port701_land,THA
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,162.19694986978297,port747_land,ARE
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,265.685117332044,port955_land,AUS
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,48.95822877854935,port57_land,BEL
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,197.0566072654258,port1355_land,BGR
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,88.26471136890855,port1114_land,CHE
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,14413.90564556333,port1195_land,CHN
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,223.73951987175445,port446_land,DEU
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,360.5277563157204,port635_land,ESP
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,5.47829641896359,port493_land,GBR
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,IND,Africa,0,Asia,0,698217.646,78901.706,0.49105254395067965,19345.10085167911,port1367_land,IND
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,ITA,Africa,0,Europe,0,61588.176,5530.358,0.034418728092621885,1355.9318128798177,port1004_land,ITA
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.9103524258687706,port16_land,KAZ
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.9103524258687706,port100_land,KAZ
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,KHM,Africa,0,Asia,0,2580.372,2591.48,0.016128331199800765,635.3784283841643,port535_land,KHM
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,KOR,Africa,0,Asia,0,8021.058,2132.015,0.013268805486804152,522.7269128032876,port915_land,KOR
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,MYS,Africa,0,Asia,0,17364.456,1966.62,0.012239453402747534,482.1754074231192,port672_land,MYS
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,NLD,Africa,0,Europe,0,6347.76,693.7,0.004317310322017454,170.08119521281074,port1114_land,NLD
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,OMN,Africa,0,Asia,0,14167.797,1489.97,0.0092729751484739,365.3104777731463,port988_land,OMN
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,RUS,Africa,0,Europe,0,4.159,0.122,7.592790244862755e-07,0.029911929963907895,port1095_land,RUS
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,SGP,Africa,0,Asia,0,218.142,403.78,0.0025129646271071174,98.99868099038304,port1201_land,SGP
mine_2345,ZAF,Platinum,Chromite,Copper,Nickel,Palladium,,,,,,,,,,,1.0,39395.17489521874,ZAF,THA,Africa,0,Asia,0,20629.653,2652.332,0.01650704961945682,650.2981067625553,port701_land,THA
mine_2845,ZAF,Platinum,Cobalt,Nickel,Copper,Palladium,,,,,,,,,,,1.0,3894.9133247352993,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,16.036051698197017,port747_land,ARE
mine_2845,ZAF,Platinum,Cobalt,Nickel,Copper,Palladium,,,,,,,,,,,1.0,3894.9133247352993,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,26.267696651501154,port955_land,AUS
mine_2845,ZAF,Platinum,Cobalt,Nickel,Copper,Palladium,,,,,,,,,,,1.0,3894.9133247352993,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,4.8403911933934385,port57_land,BEL
mine_2845,ZAF,Platinum,Cobalt,Nickel,Copper,Palladium,,,,,,,,,,,1.0,3894.9133247352993,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,19.482548495003353,port1355_land,BGR
